package	version	license
@azu/format-text	1.0.2	BSD-3-Clause
@azu/style-format	1.0.1	WTFPL
@azure/abort-controller	2.1.2	MIT
@azure/core-auth	1.10.1	MIT
@azure/core-client	1.10.2	MIT
@azure/core-rest-pipeline	1.24.0	MIT
@azure/core-tracing	1.3.1	MIT
@azure/core-util	1.13.1	MIT
@azure/identity	4.13.1	MIT
@azure/logger	1.3.0	MIT
@azure/msal-browser	5.17.0	MIT
@azure/msal-common	16.11.1	MIT
@azure/msal-node	5.4.0	MIT
@babel/code-frame	7.29.7	MIT
@babel/helper-validator-identifier	7.29.7	MIT
@esbuild/linux-x64	0.25.12	MIT
@jridgewell/gen-mapping	0.3.13	MIT
@jridgewell/remapping	2.3.5	MIT
@jridgewell/resolve-uri	3.1.2	MIT
@jridgewell/sourcemap-codec	1.5.5	MIT
@jridgewell/trace-mapping	0.3.31	MIT
@nodelib/fs.scandir	2.1.5	MIT
@nodelib/fs.stat	2.0.5	MIT
@nodelib/fs.walk	1.2.8	MIT
@polka/url	1.0.0-next.29	MIT
@rollup/rollup-linux-x64-gnu	4.62.2	MIT
@rollup/rollup-linux-x64-musl	4.62.2	MIT
@secretlint/config-creator	10.2.2	MIT
@secretlint/config-loader	10.2.2	MIT
@secretlint/core	10.2.2	MIT
@secretlint/formatter	10.2.2	MIT
@secretlint/node	10.2.2	MIT
@secretlint/profiler	10.2.2	MIT
@secretlint/resolver	10.2.2	MIT
@secretlint/secretlint-formatter-sarif	10.2.2	MIT
@secretlint/secretlint-rule-no-dotenv	10.2.2	MIT
@secretlint/secretlint-rule-preset-recommend	10.2.2	MIT
@secretlint/source-creator	10.2.2	MIT
@secretlint/types	10.2.2	MIT
@sindresorhus/merge-streams	2.3.0	MIT
@standard-schema/spec	1.1.0	MIT
@supabase/auth-js	2.110.6	MIT
@supabase/functions-js	2.110.6	MIT
@supabase/phoenix	0.4.4	MIT
@supabase/postgrest-js	2.110.6	MIT
@supabase/realtime-js	2.110.6	MIT
@supabase/storage-js	2.110.6	MIT
@supabase/supabase-js	2.110.6	MIT
@sveltejs/acorn-typescript	1.0.11	MIT
@sveltejs/adapter-static	3.0.10	MIT
@sveltejs/kit	2.69.2	MIT
@sveltejs/kit	2.70.2	MIT
@sveltejs/load-config	0.2.0	MIT
@sveltejs/load-config	0.2.2	MIT
@sveltejs/vite-plugin-svelte	5.1.1	MIT
@sveltejs/vite-plugin-svelte-inspector	4.0.1	MIT
@textlint/ast-node-types	15.7.1	MIT
@textlint/linter-formatter	15.7.1	MIT
@textlint/module-interop	15.7.1	MIT
@textlint/resolver	15.7.1	MIT
@textlint/types	15.7.1	MIT
@types/cookie	0.6.0	MIT
@types/estree	1.0.9	MIT
@types/node	22.20.1	MIT
@types/normalize-package-data	2.4.4	MIT
@types/sarif	2.1.7	MIT
@types/trusted-types	2.0.7	MIT
@types/vscode	1.125.0	MIT
@typespec/ts-http-runtime	0.3.6	MIT
@vscode/vsce	3.9.2	MIT
@vscode/vsce-sign	2.0.9	SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-linux-x64	2.0.6	SEE LICENSE IN LICENSE.txt
acorn	8.17.0	MIT
agent-base	7.1.4	MIT
ajv	8.20.0	MIT
ansi-escapes	7.3.0	MIT
ansi-regex	5.0.1	MIT
ansi-regex	6.2.2	MIT
ansi-styles	4.3.0	MIT
argparse	2.0.1	Python-2.0
aria-query	5.3.1	Apache-2.0
astral-regex	2.0.0	MIT
asynckit	0.4.0	MIT
axobject-query	4.1.0	Apache-2.0
azure-devops-node-api	12.5.0	MIT
balanced-match	4.0.4	MIT
base64-js	1.5.1	MIT
binaryextensions	6.11.0	Artistic-2.0
bl	4.1.0	MIT
boolbase	1.0.0	ISC
boundary	2.0.0	BSD-2-Clause
brace-expansion	5.0.7	MIT
brace-expansion	5.0.8	MIT
brace-expansion	5.0.9	MIT
braces	3.0.3	MIT
buffer	5.7.1	MIT
buffer-crc32	0.2.13	MIT
buffer-equal-constant-time	1.0.1	BSD-3-Clause
bundle-name	4.1.0	MIT
call-bind-apply-helpers	1.0.2	MIT
call-bound	1.0.4	MIT
chalk	4.1.2	MIT
chalk	5.6.2	MIT
cheerio	1.2.0	MIT
